Disease,Description,Diet,Medication,Unnamed: 0_x,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Unnamed: 0.1,Unnamed: 0_y,workout
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",2,apply calamine,cover area with bandage,,use ice to compress itching,11,11,Consume anti-inflammatory foods
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",2,apply calamine,cover area with bandage,,use ice to compress itching,12,12,Include omega-3 fatty acids
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",2,apply calamine,cover area with bandage,,use ice to compress itching,13,13,Stay hydrated
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",2,apply calamine,cover area with bandage,,use ice to compress itching,14,14,Eat foods rich in vitamin C
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",2,apply calamine,cover area with bandage,,use ice to compress itching,15,15,Include quercetin-rich foods
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",2,apply calamine,cover area with bandage,,use ice to compress itching,16,16,Consume local honey
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",2,apply calamine,cover area with bandage,,use ice to compress itching,17,17,Limit processed foods
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",2,apply calamine,cover area with bandage,,use ice to compress itching,18,18,Include ginger in diet
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",2,apply calamine,cover area with bandage,,use ice to compress itching,19,19,Avoid artificial additives
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",5,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,20,20,Consume smaller meals
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",5,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,21,21,"Avoid trigger foods (spicy, fatty)"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",5,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,22,22,Eat high-fiber foods
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",5,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,23,23,Limit caffeine and alcohol
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",5,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,24,24,Chew food thoroughly
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",5,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,25,25,Avoid late-night eating
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",5,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,26,26,Consume non-citrus fruits
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",5,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,27,27,Include lean proteins
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",5,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,28,28,Stay hydrated
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",5,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,29,29,Avoid carbonated beverages
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",6,cold baths,anti itch medicine,consult doctor,eat healthy,30,30,Consume a low-fat diet
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",6,cold baths,anti itch medicine,consult doctor,eat healthy,31,31,Eat high-fiber foods
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",6,cold baths,anti itch medicine,consult doctor,eat healthy,32,32,Include healthy fats
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",6,cold baths,anti itch medicine,consult doctor,eat healthy,33,33,Limit alcohol consumption
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",6,cold baths,anti itch medicine,consult doctor,eat healthy,34,34,Stay hydrated
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",6,cold baths,anti itch medicine,consult doctor,eat healthy,35,35,Consume antioxidant-rich foods
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",6,cold baths,anti itch medicine,consult doctor,eat healthy,36,36,Include omega-3 fatty acids
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",6,cold baths,anti itch medicine,consult doctor,eat healthy,37,37,Include lean proteins
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",6,cold baths,anti itch medicine,consult doctor,eat healthy,38,38,Limit processed foods
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",6,cold baths,anti itch medicine,consult doctor,eat healthy,39,39,Avoid fried foods
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",0,stop irritation,consult nearest hospital,stop taking drug,follow up,40,40,Discontinue offending medication
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",0,stop irritation,consult nearest hospital,stop taking drug,follow up,41,41,Stay hydrated
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",0,stop irritation,consult nearest hospital,stop taking drug,follow up,42,42,Include anti-inflammatory foods
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",0,stop irritation,consult nearest hospital,stop taking drug,follow up,43,43,Consume antioxidants
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",0,stop irritation,consult nearest hospital,stop taking drug,follow up,44,44,Avoid trigger foods
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",0,stop irritation,consult nearest hospital,stop taking drug,follow up,45,45,Include omega-3 fatty acids
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",0,stop irritation,consult nearest hospital,stop taking drug,follow up,46,46,Limit caffeine and alcohol
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",0,stop irritation,consult nearest hospital,stop taking drug,follow up,47,47,Stay hydrated
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",0,stop irritation,consult nearest hospital,stop taking drug,follow up,48,48,Eat a balanced diet
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",0,stop irritation,consult nearest hospital,stop taking drug,follow up,49,49,Consult a healthcare professional
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",23,avoid open cuts,wear ppe if possible,consult doctor,follow up,60,60,Follow a balanced and nutritious diet
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",23,avoid open cuts,wear ppe if possible,consult doctor,follow up,61,61,Include lean proteins
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",23,avoid open cuts,wear ppe if possible,consult doctor,follow up,62,62,Consume nutrient-rich foods
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",23,avoid open cuts,wear ppe if possible,consult doctor,follow up,63,63,Stay hydrated
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",23,avoid open cuts,wear ppe if possible,consult doctor,follow up,64,64,Include healthy fats
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",23,avoid open cuts,wear ppe if possible,consult doctor,follow up,65,65,Avoid raw or undercooked foods
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",23,avoid open cuts,wear ppe if possible,consult doctor,follow up,66,66,Limit sugary foods and beverages
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",23,avoid open cuts,wear ppe if possible,consult doctor,follow up,67,67,Consume immune-boosting foods
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",23,avoid open cuts,wear ppe if possible,consult doctor,follow up,68,68,Take prescribed supplements
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",23,avoid open cuts,wear ppe if possible,consult doctor,follow up,69,69,Consult a healthcare professional
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']",39,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,80,80,Stay hydrated
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']",39,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,81,81,Consume clear fluids
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']",39,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,82,82,"Follow the BRAT diet (bananas, rice, applesauce, toast)"
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']",39,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,83,83,Include bland foods
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']",39,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,84,84,Avoid fatty and greasy foods
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']",39,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,85,85,Limit caffeine and alcohol
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']",39,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,86,86,Avoid spicy foods
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']",39,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,87,87,Consult a healthcare professional
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']",39,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,88,88,Gradually reintroduce solid foods
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']",39,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,89,89,Avoid dairy products
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",30,switch to loose cloothing,take deep breaths,get away from trigger,seek help,90,90,Include anti-inflammatory foods
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",30,switch to loose cloothing,take deep breaths,get away from trigger,seek help,91,91,Consume omega-3 fatty acids
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",30,switch to loose cloothing,take deep breaths,get away from trigger,seek help,92,92,Limit sodium intake
